amfi_code,cagr_3yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,scheme_name,expense_ratio_pct,composite_score
148567,0.25127469643415923,1.068223827231475,1.5548206252732935,0.2698375144191807,0.02368355807584861,-0.11265729075028275,Mirae Asset Large Cap Fund - Regular - Growth,1.46,86.25
120843,0.2166999341232414,0.965560651744012,1.4859046726602798,0.27330465038306057,-0.022829569792426552,-0.1297396816518679,Kotak Flexicap Fund - Regular - Growth,1.45,82.75
100033,0.24407712694865258,0.8082678003905579,1.1844238425713358,0.2719535450128533,0.0051035258305283365,-0.16217208574644848,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.38,80.75
119551,0.2856016945105937,0.8609773262277789,1.3024726833694804,0.23201007160635082,-0.03175144113890973,-0.1501238549864533,SBI Bluechip Fund - Regular Plan - Growth,1.54,77.94
120505,0.1572230933233587,0.8832556184698852,1.3210875599083411,0.2926358334175106,0.0005490042506317152,-0.18188513572116294,ICICI Pru Midcap Fund - Regular - Growth,1.36,76.88
119094,0.2129444205806197,0.7305467735561743,1.0915457825224344,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,Axis Midcap Fund - Regular - Growth,1.38,73.75
148569,0.20890367973052104,0.9190465356358312,1.3870284683532013,0.2827036785246582,0.018133884083859218,-0.1639674294693263,Mirae Asset Tax Saver Fund - Regular - Growth,1.6,73.69
149323,0.24693333598123646,0.8328852279505937,1.20180531294644,0.26598577542043045,-0.0025230046646992363,-0.17248105753451382,DSP Midcap Fund - Regular - Growth,1.61,72.75
101206,0.22397738480380092,0.7174089959890152,1.0787954387707404,0.21399784776051212,0.02108631625012803,-0.11291596329323073,ABSL Frontline Equity Fund - Regular - Growth,1.6,70.56
119598,0.1893418846260404,0.7116901743847246,1.067059036379538,0.3033696538698332,-0.0231960620440597,-0.2870600572176455,SBI Small Cap Fund - Regular Plan - Growth,1.43,70.25
120504,0.13177354360397864,0.7146822636441219,1.0627887426854057,0.2119482701352573,0.016232169761417017,-0.12588275606922517,ICICI Pru Bluechip Fund - Direct - Growth,0.8,68.12
149324,0.17045551126002367,0.7144216579880999,1.055416940095184,0.3005787817097677,0.011455159960520706,-0.31171900300634214,DSP Small Cap Fund - Regular - Growth,1.52,66.56
118632,0.13180371331935214,0.7588510310771465,1.121481977276685,0.21829397904608644,-0.008353832126962007,-0.17414075086657232,Nippon India Large Cap Fund - Regular - Growth,1.51,64.31
125497,0.1492634581454797,0.5062729716095972,0.7503849123117107,0.17729754927531766,0.04882040425957739,-0.15200013055606398,HDFC Top 100 Fund - Direct Plan - Growth,0.92,63.0
118633,0.16725779765765947,0.38882884600017614,0.5913204195362851,0.15643835948169668,-0.03663900671860935,-0.18629743138595511,Nippon India Large Cap Fund - Direct - Growth,0.72,60.81
119552,0.05163223794670091,0.6482414723266914,0.9562581615720406,0.1986859936686296,-0.026159307513513374,-0.11803493502764295,SBI Bluechip Fund - Direct Plan - Growth,0.66,60.25
118635,0.13172562069891391,0.39318819691240475,0.5811744807468702,0.1513635464823924,-0.001433521389780125,-0.1165062450540909,Nippon India ETF Nifty 50 BeES,0.89,56.88
120506,0.1423100984087342,0.4046154783292057,0.5916414911641031,0.1625385327998104,0.04189646272811977,-0.1982565826298267,ICICI Pru Value Discovery Fund - Regular - Growth,1.41,55.5
120503,0.09854016337787797,0.5165503915082112,0.7578453024522561,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,ICICI Pru Bluechip Fund - Regular - Growth,1.42,55.12
148568,0.10109386275223997,0.6406730942266665,0.9567871793429309,0.20873010086942337,-0.02638771994384301,-0.1527259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.52,54.94
102885,0.13106842740248603,0.5197971450361782,0.776798118091619,0.17048756803412696,-0.019486785689474553,-0.1085986215250232,UTI Nifty 50 Index Fund - Regular - Growth,1.57,53.5
102887,0.17218950045568304,0.3846373345033857,0.5769204679491385,0.16211256794033255,0.016682689437770806,-0.21539827112383225,UTI Flexi Cap Fund - Regular - Growth,1.64,48.44
149322,0.13591757240129332,0.239663367772852,0.3438264105878008,0.13173190226099432,-0.004050271130006485,-0.14844576917771746,DSP Top 100 Equity Fund - Regular - Growth,1.54,47.44
125498,0.11287915126370995,0.1347978410610398,0.1933573961100776,0.11989100971217971,0.009054412621739158,-0.21117279560132118,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.78,46.5
119093,0.08934349507083406,-0.04707325681075903,-0.06786887394458012,0.08232801295222093,0.02588321244009314,-0.21751396370148224,Axis Bluechip Fund - Direct - Growth,0.75,41.5
118634,0.05810467306022904,0.29234325101099135,0.41894705414580635,0.1750072167561127,0.10349663691337589,-0.2334488614483311,Nippon India Small Cap Fund - Regular - Growth,1.53,40.19
118636,0.055363697415269586,-0.8505789759662259,-1.2685361796008705,0.05074772999976104,0.0012566742731558503,-0.08316361763638702,Nippon India Gilt Securities Fund - Regular - Growth,0.55,39.62
