scheme_name,category,hhi_score,concentration_level
Axis Bluechip Fund - Regular - Growth,Large Cap,0.29676908999999996,Concentrated (High Risk)
Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,0.25499194,Concentrated (High Risk)
HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,0.253155,Concentrated (High Risk)
UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,0.25138255,Concentrated (High Risk)
DSP Midcap Fund - Regular - Growth,Mid Cap,0.24107663999999998,Moderate
ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,0.23869504,Moderate
SBI Small Cap Fund - Direct Plan - Growth,Small Cap,0.2323612,Moderate
HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,0.22764743999999998,Moderate
SBI Bluechip Fund - Direct Plan - Growth,Large Cap,0.22750834999999997,Moderate
ABSL Small Cap Fund - Regular - Growth,Small Cap,0.22272651000000002,Moderate
ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,0.22121302999999998,Moderate
Nippon India Large Cap Fund - Direct - Growth,Large Cap,0.22120031999999998,Moderate
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,0.21808584999999997,Moderate
Kotak Bluechip Fund - Regular - Growth,Large Cap,0.21589315000000003,Moderate
Nippon India Large Cap Fund - Regular - Growth,Large Cap,0.20725894,Moderate
Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,0.20124815000000001,Moderate
DSP Small Cap Fund - Regular - Growth,Small Cap,0.18870081999999996,Moderate
SBI Small Cap Fund - Regular Plan - Growth,Small Cap,0.18808485000000003,Moderate
Axis Bluechip Fund - Direct - Growth,Large Cap,0.18423319999999999,Moderate
DSP Top 100 Equity Fund - Regular - Growth,Large Cap,0.18269533,Moderate
ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,0.1821675,Moderate
HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,0.18058807999999998,Moderate
ABSL Frontline Equity Fund - Regular - Growth,Large Cap,0.18004225000000001,Moderate
Axis Midcap Fund - Regular - Growth,Mid Cap,0.17510024999999999,Moderate
HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,0.17241088,Moderate
Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,0.16206189,Moderate
Nippon India Small Cap Fund - Regular - Growth,Small Cap,0.16029924,Moderate
Axis Small Cap Fund - Regular - Growth,Small Cap,0.15958229000000002,Moderate
SBI Bluechip Fund - Regular Plan - Growth,Large Cap,0.14249103999999999,Diversified (Low Risk)
Kotak Flexicap Fund - Regular - Growth,Flexi Cap,0.13620616000000002,Diversified (Low Risk)
UTI Mid Cap Fund - Regular - Growth,Mid Cap,0.12402024,Diversified (Low Risk)
