investor_id,days_gap,at_risk_flag
INV000004,85.4,Yes
INV000008,70.4,Yes
INV000010,64.8,Yes
INV000011,40.166666666666664,Yes
INV000012,57.0,Yes
INV000013,55.333333333333336,Yes
INV000014,75.33333333333333,Yes
INV000023,58.57142857142857,Yes
INV000028,93.6,Yes
INV000029,60.666666666666664,Yes
INV000030,47.625,Yes
INV000033,45.57142857142857,Yes
INV000039,68.6,Yes
INV000045,70.6,Yes
INV000048,46.0,Yes
INV000052,36.2,Yes
INV000056,74.8,Yes
INV000057,49.714285714285715,Yes
INV000069,49.111111111111114,Yes
INV000072,83.0,Yes
INV000073,48.25,Yes
INV000074,72.57142857142857,Yes
INV000075,74.8,Yes
INV000076,91.8,Yes
INV000079,65.8,Yes
INV000081,81.33333333333333,Yes
INV000082,83.66666666666667,Yes
INV000086,44.666666666666664,Yes
INV000087,92.8,Yes
INV000091,44.0,Yes
INV000093,55.5,Yes
INV000094,44.8,Yes
INV000095,69.4,Yes
INV000097,54.5,Yes
INV000101,65.0,Yes
INV000102,65.28571428571429,Yes
INV000103,83.4,Yes
INV000105,57.0,Yes
INV000109,46.25,Yes
INV000113,46.0,Yes
INV000123,59.666666666666664,Yes
INV000128,82.0,Yes
INV000131,56.0,Yes
INV000132,71.0,Yes
INV000133,88.2,Yes
INV000138,76.2,Yes
INV000145,89.4,Yes
INV000146,66.8,Yes
INV000148,52.0,Yes
INV000155,37.333333333333336,Yes
INV000161,73.0,Yes
INV000163,61.0,Yes
INV000164,61.8,Yes
INV000169,67.83333333333333,Yes
INV000173,57.666666666666664,Yes
INV000175,83.66666666666667,Yes
INV000177,65.42857142857143,Yes
INV000180,61.8,Yes
INV000183,56.125,Yes
INV000191,56.5,Yes
INV000194,58.0,Yes
INV000195,77.4,Yes
INV000196,69.0,Yes
INV000201,51.125,Yes
INV000205,62.57142857142857,Yes
INV000210,70.71428571428571,Yes
INV000214,94.8,Yes
INV000217,92.0,Yes
INV000228,59.75,Yes
INV000236,67.14285714285714,Yes
INV000238,93.6,Yes
INV000239,48.857142857142854,Yes
INV000243,88.2,Yes
INV000245,92.2,Yes
INV000249,45.5,Yes
INV000252,50.4,Yes
INV000255,48.6,Yes
INV000256,70.2,Yes
INV000259,70.6,Yes
INV000260,59.57142857142857,Yes
INV000262,53.57142857142857,Yes
INV000263,68.42857142857143,Yes
INV000265,53.44444444444444,Yes
INV000268,62.333333333333336,Yes
INV000279,43.375,Yes
INV000280,55.75,Yes
INV000283,68.0,Yes
INV000287,69.83333333333333,Yes
INV000289,62.714285714285715,Yes
INV000291,89.0,Yes
INV000292,46.0,Yes
INV000293,47.0,Yes
INV000297,90.6,Yes
INV000299,85.2,Yes
INV000304,70.0,Yes
INV000309,52.0,Yes
INV000310,75.83333333333333,Yes
INV000318,97.4,Yes
INV000319,73.5,Yes
INV000321,72.83333333333333,Yes
INV000328,37.5,Yes
INV000331,50.714285714285715,Yes
INV000334,25.5,No
INV000335,96.0,Yes
INV000339,94.0,Yes
INV000341,54.42857142857143,Yes
INV000356,54.4,Yes
INV000359,54.125,Yes
INV000363,77.0,Yes
INV000369,43.8,Yes
INV000371,59.285714285714285,Yes
INV000372,54.5,Yes
INV000380,97.0,Yes
INV000388,53.625,Yes
INV000392,77.16666666666667,Yes
INV000395,55.666666666666664,Yes
INV000396,83.2,Yes
INV000399,49.55555555555556,Yes
INV000400,62.6,Yes
INV000403,58.2,Yes
INV000407,82.4,Yes
INV000408,46.8,Yes
INV000412,43.714285714285715,Yes
INV000414,66.28571428571429,Yes
INV000415,66.16666666666667,Yes
INV000418,86.8,Yes
INV000427,68.5,Yes
INV000428,52.142857142857146,Yes
INV000429,77.2,Yes
